"dates","I"
"26/02/2020",0
"27/02/2020",0
"28/02/2020",0
"29/02/2020",0
"01/03/2020",0
"02/03/2020",2
"03/03/2020",2
"04/03/2020",2
"05/03/2020",3
"06/03/2020",4
"07/03/2020",8
"08/03/2020",9
"09/03/2020",9
"10/03/2020",2
"11/03/2020",18
"12/03/2020",19
"13/03/2020",34
"14/03/2020",57
"15/03/2020",76
"16/03/2020",86
"17/03/2020",117
"18/03/2020",194
"19/03/2020",143
"20/03/2020",235
"21/03/2020",260
"22/03/2020",320
"23/03/2020",460
"24/03/2020",302
"25/03/2020",633
"26/03/2020",549
"27/03/2020",724
"28/03/2020",902
"29/03/2020",792
"30/03/2020",446
"31/03/2020",1035
"01/04/2020",808
"02/04/2020",783
"03/04/2020",852
"04/04/2020",638
"05/04/2020",754
"06/04/2020",452
"07/04/2020",712
"08/04/2020",699
"09/04/2020",815
"10/04/2020",1516
"11/04/2020",515
"12/04/2020",598
"13/04/2020",349
"14/04/2020",514
"15/04/2020",643
"16/04/2020",750
"17/04/2020",181
"18/04/2020",663
"19/04/2020",521
"20/04/2020",657
"21/04/2020",516
"22/04/2020",603
"23/04/2020",371
"24/04/2020",444
"25/04/2020",474
"26/04/2020",412
"27/04/2020",163
"28/04/2020",295
"29/04/2020",183
"30/04/2020",368
"01/05/2020",295
"02/05/2020",203
"03/05/2020",92
"04/05/2020",242
"05/05/2020",178
"06/05/2020",480
"07/05/2020",533
"08/05/2020",553
"09/05/2020",138
"10/05/2020",175
"11/05/2020",98
"12/05/2020",234
"13/05/2020",219
"14/05/2020",187
"15/05/2020",264
"16/05/2020",227
"17/05/2020",226
"18/05/2020",173
"19/05/2020",223
"20/05/2020",228
"21/05/2020",252
"22/05/2020",288
"23/05/2020",271
"24/05/2020",152
"25/05/2020",165
"26/05/2020",219
"27/05/2020",285
"28/05/2020",304
"29/05/2020",350
"30/05/2020",257
"31/05/2020",297
"01/06/2020",200
"02/06/2020",195
"03/06/2020",366
"04/06/2020",331
"05/06/2020",377
"06/06/2020",382
"07/06/2020",342
"08/06/2020",192
"09/06/2020",421
"10/06/2020",294
"11/06/2020",310
"12/06/2020",270
"13/06/2020",283
"14/06/2020",227
"15/06/2020",346
"16/06/2020",300
"17/06/2020",336
"18/06/2020",417
"19/06/2020",375
"20/06/2020",377
"21/06/2020",292
"22/06/2020",259
"23/06/2020",345
"24/06/2020",367
"25/06/2020",311
"26/06/2020",451
"27/06/2020",323
"28/06/2020",457
"29/06/2020",266
"30/06/2020",259
"01/07/2020",352
"02/07/2020",378
"03/07/2020",455
"04/07/2020",413
"05/07/2020",328
"06/07/2020",232
"07/07/2020",287
"08/07/2020",443
"09/07/2020",418
"10/07/2020",402
"11/07/2020",342
"12/07/2020",291
"13/07/2020",306
"14/07/2020",233
"15/07/2020",375
"16/07/2020",339
"17/07/2020",312
"18/07/2020",313
"19/07/2020",246
"20/07/2020",135
"21/07/2020",127
"22/07/2020",252
"23/07/2020",229
"24/07/2020",313
"25/07/2020",263
"26/07/2020",209
"27/07/2020",135
"28/07/2020",111
"29/07/2020",203
"30/07/2020",255
"31/07/2020",204
"01/08/2020",238
"02/08/2020",153
"03/08/2020",106
"04/08/2020",112
"05/08/2020",167
"06/08/2020",213
"07/08/2020",290
"08/08/2020",186
"09/08/2020",131
"10/08/2020",157
"11/08/2020",120
"12/08/2020",278
"13/08/2020",325
"14/08/2020",235
"15/08/2020",198
"16/08/2020",121
"17/08/2020",132
"18/08/2020",214
"19/08/2020",253
"20/08/2020",291
"21/08/2020",219
"22/08/2020",241
"23/08/2020",145
"24/08/2020",123
"25/08/2020",192
"26/08/2020",362
"27/08/2020",397
"28/08/2020",403
"29/08/2020",374
"30/08/2020",320
"31/08/2020",244
"01/09/2020",231
"02/09/2020",390
"03/09/2020",418
"04/09/2020",406
"05/09/2020",486
"06/09/2020",315
"07/09/2020",249
"08/09/2020",388
"09/09/2020",646
"10/09/2020",585
"11/09/2020",687
"12/09/2020",497
"13/09/2020",673
"14/09/2020",613
"15/09/2020",425
"16/09/2020",605
"17/09/2020",770
"18/09/2020",780
"19/09/2020",849
"20/09/2020",552
"21/09/2020",623
"22/09/2020",463
"23/09/2020",802
"24/09/2020",691
"25/09/2020",899
"26/09/2020",884
"27/09/2020",665
"28/09/2020",425
"29/09/2020",688
"30/09/2020",825
"01/10/2020",854
"02/10/2020",888
"03/10/2020",963
"04/10/2020",904
"05/10/2020",734
"06/10/2020",427
"07/10/2020",944
"08/10/2020",1278
"09/10/2020",1394
"10/10/2020",1646
"11/10/2020",1090
"12/10/2020",1249
"13/10/2020",1208
"14/10/2020",2072
"15/10/2020",2101
"16/10/2020",2608
"17/10/2020",2153
"18/10/2020",1856
"19/10/2020",1949
"20/10/2020",1876
"21/10/2020",2535
"22/10/2020",3270
"23/10/2020",2899
"24/10/2020",3669
"25/10/2020",2577
"26/10/2020",2447
"27/10/2020",3299
"28/10/2020",3960
"29/10/2020",4224
"30/10/2020",4656
"31/10/2020",4007
"01/11/2020",3062
"02/11/2020",2506
"03/11/2020",2596
"04/11/2020",7497
"05/11/2020",4410
"06/11/2020",5550
"07/11/2020",6640
"08/11/2020",5784
"09/11/2020",4096
"10/11/2020",3817
"11/11/2020",4935
"12/11/2020",5839
"13/11/2020",6653
"14/11/2020",6602
"15/11/2020",6035
"16/11/2020",8371
"17/11/2020",4452
"18/11/2020",5891
"19/11/2020",6994
"20/11/2020",6489
"21/11/2020",6472
"22/11/2020",4788
"23/11/2020",4044
"24/11/2020",3919
"25/11/2020",5290
"26/11/2020",6383
"27/11/2020",5444
"28/11/2020",4868
"29/11/2020",4093
"30/11/2020",3262
"01/12/2020",2401
"02/12/2020",3384
"03/12/2020",3772
"04/12/2020",4935
"05/12/2020",6087
"06/12/2020",3834
"07/12/2020",2597
"08/12/2020",2905
"09/12/2020",4097
"10/12/2020",3134
"11/12/2020",5080
"12/12/2020",4413
"13/12/2020",4044
"14/12/2020",2194
"15/12/2020",2638
"16/12/2020",4720
"17/12/2020",4320
"18/12/2020",4336
"19/12/2020",3835
"20/12/2020",3334
"21/12/2020",2099
