Dia_do_Ano,Dia,Confirmados,Obitos,Data
60,1,0,0,2020-02-29
61,2,2,0,2020-03-01
62,3,4,0,2020-03-02
63,4,6,0,2020-03-03
64,5,9,0,2020-03-04
65,6,13,0,2020-03-05
66,7,21,0,2020-03-06
67,8,30,0,2020-03-07
68,9,39,0,2020-03-08
69,10,41,0,2020-03-09
70,11,59,0,2020-03-10
71,12,78,0,2020-03-11
72,13,112,0,2020-03-12
73,14,169,0,2020-03-13
74,15,245,0,2020-03-14
75,16,331,0,2020-03-15
76,17,448,1,2020-03-16
77,18,642,2,2020-03-17
78,19,785,3,2020-03-18
79,20,1020,6,2020-03-19
80,21,1280,12,2020-03-20
81,22,1600,14,2020-03-21
82,23,2060,23,2020-03-22
83,24,2362,33,2020-03-23
84,25,2995,43,2020-03-24
85,26,3544,60,2020-03-25
86,27,4268,76,2020-03-26
87,28,5170,100,2020-03-27
88,29,5962,119,2020-03-28
89,30,6408,140,2020-03-29
90,31,7443,160,2020-03-30
91,32,8251,187,2020-03-31
92,33,9034,209,2020-04-01
93,34,9886,246,2020-04-02
94,35,10524,266,2020-04-03
95,36,11278,295,2020-04-04
96,37,11730,311,2020-04-05
97,38,12442,345,2020-04-06
98,39,13141,380,2020-04-07
99,40,13956,409,2020-04-08
100,41,15472,435,2020-04-09
101,42,15987,470,2020-04-10
102,43,16585,504,2020-04-11
103,44,16934,535,2020-04-12
104,45,17448,567,2020-04-13
105,46,18091,599,2020-04-14
106,47,18841,629,2020-04-15
107,48,19022,657,2020-04-16
108,49,19685,687,2020-04-17
109,50,20206,714,2020-04-18
110,51,20863,735,2020-04-19
111,52,21379,762,2020-04-20
112,53,21982,785,2020-04-21
113,54,22353,820,2020-04-22
114,55,22797,854,2020-04-23
115,56,23392,880,2020-04-24
116,57,23864,903,2020-04-25
117,58,24017,928,2020-04-26
118,59,24322,948,2020-04-27
119,60,24505,973,2020-04-28
120,61,25045,989,2020-04-29
121,62,25351,1007,2020-04-30
122,63,25190,1023,2020-05-01
123,64,25282,1043,2020-05-02
124,65,25524,1063,2020-05-03
125,66,25702,1074,2020-05-04
126,67,26182,1089,2020-05-05
127,68,26715,1105,2020-05-06
128,69,27268,1114,2020-05-07
129,70,27406,1126,2020-05-08
130,71,27581,1135,2020-05-09
131,72,27913,1163,2020-05-10
132,73,28132,1175,2020-05-11
133,74,28319,1184,2020-05-12
134,75,28583,1190,2020-05-13
135,76,28810,1203,2020-05-14
136,77,29036,1218,2020-05-15
137,78,29209,1231,2020-05-16
138,79,29432,1247,2020-05-17
139,80,29660,1263,2020-05-18
140,81,29912,1277,2020-05-19
141,82,30200,1289,2020-05-20
142,83,30471,1302,2020-05-21
143,84,30623,1316,2020-05-22
144,85,31007,1342,2020-05-23
145,86,31292,1356,2020-05-24
146,87,31596,1369,2020-05-25
147,88,31946,1383,2020-05-26
148,89,32500,1410,2020-05-27
149,90,32700,1424,2020-05-28
150,91,32895,1436,2020-05-29
151,92,33261,1447,2020-05-30
152,93,33592,1455,2020-05-31
153,94,33969,1465,2020-06-01
154,95,34351,1474,2020-06-02
155,96,34885,1485,2020-06-03
156,97,35306,1492,2020-06-04
157,98,35600,1497,2020-06-05
158,99,35910,1504,2020-06-06
159,100,36180,1505,2020-06-07
160,101,36463,1512,2020-06-08
161,102,36690,1517,2020-06-09
162,103,37036,1520,2020-06-10
163,104,37336,1522,2020-06-11
164,105,37672,1523,2020-06-12
165,106,38089,1524,2020-06-13
166,107,38464,1527,2020-06-14
167,108,38841,1528,2020-06-15
168,109,39133,1530,2020-06-16
169,110,39392,1534,2020-06-17
170,111,39737,1540,2020-06-18
171,112,40104,1543,2020-06-19
172,113,40415,1549,2020-06-20
173,114,40866,1555,2020-06-21
174,115,41189,1561,2020-06-22
175,116,41646,1564,2020-06-23
176,117,41912,1568,2020-06-24
177,118,42141,1576,2020-06-25
178,119,42454,1579,2020-06-26
179,120,42782,1587,2020-06-27
180,121,43156,1598,2020-06-28
181,122,43659,1605,2020-06-29
182,123,43897,1614,2020-06-30
183,124,44129,1620,2020-07-01
184,125,44416,1629,2020-07-02
185,126,44859,1631,2020-07-03
186,127,45477,1644,2020-07-04
187,128,45879,1646,2020-07-05
188,129,46221,1654,2020-07-06
189,130,46512,1660,2020-07-07
190,131,46818,1662,2020-07-08
191,132,47051,1668,2020-07-09
192,133,47426,1676,2020-07-10
193,134,47765,1679,2020-07-11
194,135,48077,1682,2020-07-12
195,136,48390,1684,2020-07-13
196,137,48636,1689,2020-07-14
197,138,48771,1691,2020-07-15
198,139,48898,1697,2020-07-16
199,140,49150,1702,2020-07-17
200,141,49379,1705,2020-07-18
201,142,49692,1712,2020-07-19
202,143,49955,1716,2020-07-20
203,144,50164,1717,2020-07-21
204,145,50299,1719,2020-07-22
205,146,50410,1722,2020-07-23
206,147,50613,1725,2020-07-24
207,148,50868,1727,2020-07-25
208,149,51072,1735,2020-07-26
209,150,51310,1737,2020-07-27
210,151,51463,1738,2020-07-28
211,152,51569,1738,2020-07-29
212,153,51681,1739,2020-07-30
213,154,51848,1740,2020-07-31
214,155,52061,1743,2020-08-01
215,156,52351,1746,2020-08-02
