Dia_do_Ano,Dia,Confirmados,Obitos
60,1,0,0
61,2,2,0
62,3,4,0
63,4,6,0
64,5,9,0
65,6,13,0
66,7,21,0
67,8,30,0
68,9,39,0
69,10,41,0
70,11,59,0
71,12,78,0
72,13,112,0
73,14,169,0
74,15,245,0
75,16,331,0
76,17,448,1
77,18,642,2
78,19,785,3
79,20,1020,6
80,21,1280,12
81,22,1600,14
82,23,2060,23
83,24,2362,33
84,25,2995,43
85,26,3544,60
86,27,4268,76
87,28,5170,100
88,29,5962,119
89,30,6408,140
90,31,7443,160
91,32,8251,187
92,33,9034,209
93,34,9886,246
94,35,10524,266
95,36,11278,295
96,37,11730,311
97,38,12442,345
98,39,13141,380
99,40,13956,409
100,41,15472,435
101,42,15987,470
102,43,16585,504
103,44,16934,535
104,45,17448,567
105,46,18091,599
106,47,18841,629
107,48,19022,657
108,49,19685,687
109,50,20206,714
110,51,20863,735
111,52,21379,762
112,53,21982,785
113,54,22353,820
