"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
2,8,13.8686443461835,5.24185485165763,5.57591431750981,6.5089821279747,23.4625676443152,13.2141177864358,23.4625676443152,23.4625676443152,25.8738857952191
3,9,8.5750179004137,2.71165875420222,4.11205439087771,4.65229509695643,13.4672511949511,8.29094008951652,13.4672511949511,13.4672511949511,14.6502495420969
4,10,6.26168392009263,1.67350542094701,3.42332086690154,3.78560724882135,9.24428904519431,6.11324381462152,9.24428904519431,9.24428904519431,9.94283661843059
5,11,5.85301451322443,1.24786688705923,3.66805303404957,3.96242126515057,8.04535243043399,5.76457532820138,8.04535243043399,8.04535243043399,8.54027467621514
6,12,5.26087465738781,0.944880981765144,3.57450908888157,3.80896010425885,6.90540839354471,5.20441552546936,6.90540839354471,6.90540839354471,7.2679603487388
7,13,4.19267863255614,0.680142286117838,2.9669889359622,3.14008551942752,5.37054386008917,4.15595865549844,5.37054386008917,5.37054386008917,5.62697481035854
8,14,2.80374175017821,0.45482697119756,1.98409453266454,2.0998482453642,3.59140763252706,2.77918624717761,3.59140763252706,3.59140763252706,3.7628889752003
9,15,2.84202586684277,0.386750733864213,2.13501730096788,2.23717176225891,3.50666155454629,2.82450187964526,3.50666155454629,3.50666155454629,3.64859833028817
10,16,2.85076028660385,0.340731025290324,2.22230749795843,2.31439659791427,3.43339366995123,2.83719678973651,3.43339366995123,3.43339366995123,3.55627931534974
11,17,3.22395784500059,0.322395784500059,2.62314077893973,2.71261482860664,3.77193829440294,3.21321771043241,3.77193829440294,3.77193829440294,3.88580246658452
12,18,3.75628481250363,0.307726842096385,3.17737209851954,3.2648512632503,4.27637239209837,3.74788484108072,4.27637239209837,4.27637239209837,4.38292981220912
13,19,4.12077586384728,0.2803832836334,3.58952118009656,3.67068423054105,4.59255391589245,4.11441838942769,4.59255391589245,4.59255391589245,4.68815743314635
14,20,4.05558624456182,0.236929878215889,3.60445805833321,3.67389759437456,4.45301027666621,4.05097331511953,4.45301027666621,4.45301027666621,4.53292819650321
15,21,3.99416067517774,0.197740418939065,3.61595049947943,3.6745665073167,4.32488443603887,3.99089794639428,4.32488443603887,4.32488443603887,4.39091209486531
16,22,4.04896118394129,0.167547205927612,3.72718995984682,3.77736807374562,4.32843675924858,4.04665036768926,4.32843675924858,4.32843675924858,4.38386430206335
17,23,3.49560512960963,0.13137288555687,3.24282680340931,3.28235907688206,3.71446460124415,3.49395950230349,3.71446460124415,3.71446460124415,3.7577352532074
18,24,3.21119837811444,0.106508727045529,3.0058109690425,3.03803835655712,3.38837491045515,3.21002089775121,3.38837491045515,3.38837491045515,3.42327721802767
19,25,2.89510538102684,0.0868184409971047,2.72742355141865,2.75379713414918,3.03937375251724,2.89423758994525,3.03937375251724,3.03937375251724,3.06771873980556
